DateID,Day of week,Dayweek,Month,Year
Date739,Weekday,Tuesday,3,2010
Date740,Weekend,Sunday,5,2003
Date741,Weekday,Friday,5,1998
Date742,Weekend,Friday,10,1993
Date743,Weekday,Friday,11,2000
Date744,Weekend,Sunday,1,2000
Date745,Weekday,Wednesday,8,2004
Date746,Weekend,Friday,8,2015
Date747,Weekday,Friday,10,2015
Date748,Weekday,Tuesday,10,2012
Date749,Weekend,Saturday,4,2005
Date750,Weekday,Monday,10,1997
Date751,Weekend,Saturday,9,1999
Date752,Weekday,Wednesday,8,2005
Date753,Weekday,Monday,11,2016
Date754,Weekday,Tuesday,1,2003
Date755,Weekend,Sunday,11,2022
Date756,Weekday,Wednesday,12,2000
Date757,Weekday,Wednesday,6,1997
Date758,Weekend,Friday,10,2008
Date759,Weekend,Friday,8,2010
Date760,Weekend,Sunday,10,2001
Date761,Weekday,Friday,4,2012
Date762,Weekday,Tuesday,2,1995
Date763,Weekday,Wednesday,1,1994
Date764,Weekend,Saturday,2,2002
Date765,Weekend,Saturday,9,2005
Date766,Weekday,Friday,11,2006
Date767,Weekend,Monday,8,2001
Date768,Weekend,Monday,12,1999
Date769,Weekend,Friday,11,2011
Date770,Weekday,Monday,2,2011
Date771,Weekday,Friday,4,2007
Date772,Weekday,Monday,9,1989
Date773,Weekday,Tuesday,4,2008
Date774,Weekday,Wednesday,8,2012
Date775,Weekend,Monday,6,2012
Date776,Weekday,Wednesday,1,2023
Date777,Weekend,Friday,5,2015
Date778,Weekend,Sunday,1,2015
Date779,Weekend,Saturday,4,1991
Date780,Weekday,Thursday,4,2000
Date781,Weekday,Tuesday,11,1990
Date782,Weekend,Monday,11,2013
Date783,Weekday,Tuesday,6,2003
Date784,Weekday,Monday,10,2008
Date785,Weekday,Friday,2,2003
Date786,Weekday,Thursday,3,1994
Date787,Weekend,Sunday,1,1998
Date788,Weekday,Monday,8,2015
Date789,Weekday,Thursday,6,2016
Date790,Weekend,Monday,12,2002
Date791,Weekday,Friday,9,2020
Date792,Weekday,Friday,7,2001
Date793,Weekend,Sunday,7,1996
Date794,Weekend,Friday,7,1989
Date795,Weekday,Tuesday,5,2006
Date796,Weekend,Monday,3,2005
Date797,Weekday,Wednesday,4,2008
Date798,Weekend,Friday,5,2019
Date799,Weekday,Friday,11,1992
Date800,Weekend,Sunday,3,2016
Date801,Weekend,Saturday,2,1999
Date802,Weekday,Monday,6,1996
Date803,Weekday,Friday,5,1996
Date804,Weekday,Monday,7,2011
Date805,Weekend,Friday,2,2021
Date806,Weekday,Friday,6,2022
Date807,Weekday,Tuesday,7,2017
Date808,Weekend,Sunday,8,1992
Date809,Weekday,Monday,4,2010
Date810,Weekday,Tuesday,10,2009
Date811,Weekend,Monday,10,1997
Date812,Weekday,Wednesday,10,2023
Date813,Weekend,Friday,1,1994
Date814,Weekday,Friday,7,2006
Date815,Weekday,Friday,1,2005
Date816,Weekday,Monday,12,2003
Date817,Weekday,Thursday,5,2008
Date818,Weekday,Thursday,7,1998
Date819,Weekend,Saturday,11,1990
Date820,Weekend,Sunday,8,2017
Date821,Weekend,Sunday,6,2005
Date822,Weekday,Monday,6,2015
Date823,Weekday,Tuesday,3,2003
Date824,Weekend,Friday,6,2008
Date825,Weekday,Thursday,10,1994
Date826,Weekday,Thursday,11,2015
Date827,Weekday,Friday,3,2019
Date828,Weekend,Monday,11,1998
Date829,Weekend,Saturday,2,1997
Date830,Weekend,Friday,7,2002
Date831,Weekend,Monday,6,2024
Date832,Weekend,Monday,12,2012
Date833,Weekend,Friday,7,2013
Date834,Weekday,Wednesday,4,2001
Date835,Weekday,Wednesday,6,2010
Date836,Weekday,Monday,8,2010
Date837,Weekday,Friday,3,2010
Date838,Weekday,Thursday,8,2005
Date839,Weekday,Monday,3,2020
Date840,Weekend,Friday,8,2011
Date841,Weekday,Wednesday,4,2024
Date842,Weekend,Friday,11,2002
Date843,Weekend,Saturday,2,1994
Date844,Weekend,Sunday,11,2020
Date845,Weekday,Thursday,11,2017
Date846,Weekend,Friday,10,2006
Date847,Weekend,Saturday,9,2017
Date848,Weekday,Wednesday,2,1991
Date849,Weekday,Monday,12,1989
Date850,Weekend,Monday,10,2002
Date851,Weekend,Sunday,9,1991
Date852,Weekday,Monday,9,2007
Date853,Weekend,Friday,5,1993
Date854,Weekday,Friday,6,1991
Date855,Weekday,Wednesday,1,2004
Date856,Weekday,Tuesday,4,2003
Date857,Weekend,Sunday,10,2003
Date858,Weekday,Friday,11,1996
Date859,Weekend,Saturday,6,2015
Date860,Weekday,Wednesday,8,2000
Date861,Weekday,Tuesday,4,2014
Date862,Weekend,Saturday,4,2002
Date863,Weekday,Wednesday,12,2009
Date864,Weekday,Monday,8,2022
Date865,Weekend,Friday,9,2022
Date866,Weekend,Sunday,9,1989
Date867,Weekend,Friday,12,2024
Date868,Weekday,Monday,9,2014
Date869,Weekday,Monday,7,2003
Date870,Weekend,Friday,4,1996
Date871,Weekend,Monday,8,1995
Date872,Weekday,Tuesday,10,2004
Date873,Weekday,Monday,4,2013
Date874,Weekend,Monday,10,2012
Date875,Weekend,Saturday,1,2024
Date876,Weekday,Thursday,2,1989
Date877,Weekday,Friday,2,2017
Date878,Weekday,Thursday,3,2010
Date879,Weekday,Tuesday,6,1989
Date880,Weekday,Friday,4,2014
Date881,Weekend,Monday,11,2006
Date882,Weekday,Friday,4,1996
Date883,Weekend,Sunday,5,1991
Date884,Weekday,Monday,2,2008
Date885,Weekday,Thursday,9,2009
Date886,Weekend,Friday,1,1993
Date887,Weekend,Monday,12,1994
Date888,Weekday,Wednesday,8,2015
Date889,Weekday,Thursday,5,2012
Date890,Weekend,Sunday,11,2021
Date891,Weekend,Saturday,1,2006
Date892,Weekday,Wednesday,7,2016
Date893,Weekend,Monday,3,2014
Date894,Weekday,Friday,6,2016
Date895,Weekend,Monday,5,1997
Date896,Weekend,Friday,2,1993
Date897,Weekday,Tuesday,2,1991
Date898,Weekday,Wednesday,9,2012
Date899,Weekday,Friday,12,2006
Date900,Weekend,Sunday,8,2003
Date901,Weekday,Tuesday,3,1998
Date902,Weekday,Thursday,4,2017
Date903,Weekday,Monday,6,2013
Date904,Weekday,Monday,10,2014
Date905,Weekend,Sunday,3,2014
Date906,Weekend,Sunday,2,2002
Date907,Weekday,Friday,4,2008
Date908,Weekday,Thursday,10,2022
Date909,Weekend,Sunday,1,2016
Date910,Weekday,Friday,10,1998
Date911,Weekend,Friday,5,2000
Date912,Weekend,Friday,9,1997
Date913,Weekday,Thursday,10,2019
Date914,Weekday,Thursday,5,2014
Date915,Weekend,Saturday,4,2019
Date916,Weekday,Thursday,11,1996
Date917,Weekend,Sunday,2,2004
Date918,Weekend,Friday,11,2001
Date919,Weekend,Monday,7,1989
Date920,Weekday,Tuesday,11,1993
Date921,Weekend,Monday,7,2001
Date922,Weekday,Friday,4,2017
Date923,Weekend,Friday,9,2016
Date924,Weekday,Friday,6,2000
Date925,Weekday,Thursday,7,2013
Date926,Weekend,Monday,2,2015
Date927,Weekday,Friday,5,2010
Date928,Weekday,Thursday,6,2021
Date929,Weekend,Saturday,5,2013
Date930,Weekend,Monday,1,2018
Date931,Weekday,Friday,5,2024
Date932,Weekend,Sunday,11,2003
Date933,Weekday,Wednesday,10,1990
Date934,Weekday,Tuesday,12,2011
Date935,Weekend,Saturday,6,2008
Date936,Weekend,Saturday,8,2015
Date937,Weekday,Thursday,11,2020
Date938,Weekday,Monday,7,2013
Date939,Weekday,Monday,4,1999
Date940,Weekend,Friday,5,1997
Date941,Weekday,Tuesday,7,2012
Date942,Weekday,Friday,3,2014
Date943,Weekend,Saturday,5,2016
Date944,Weekend,Friday,3,2000
Date945,Weekday,Tuesday,4,2013
Date946,Weekend,Sunday,9,2019
Date947,Weekday,Wednesday,11,2000
Date948,Weekday,Friday,12,2021
Date949,Weekday,Wednesday,9,1999
Date950,Weekend,Sunday,5,1989
Date951,Weekday,Friday,2,2000
Date952,Weekday,Monday,8,2020
Date953,Weekday,Wednesday,1,2002
Date954,Weekend,Monday,1,1994
Date955,Weekday,Tuesday,3,2002
Date956,Weekday,Tuesday,1,2013
Date957,Weekend,Sunday,4,2023
Date958,Weekday,Tuesday,12,1995
Date959,Weekend,Sunday,11,1989
Date960,Weekend,Saturday,9,2011
Date961,Weekday,Wednesday,8,1999
Date962,Weekend,Monday,3,1989
Date963,Weekday,Monday,5,2012
Date964,Weekday,Monday,1,1993
Date965,Weekday,Wednesday,6,2009
Date966,Weekday,Monday,12,1996
Date967,Weekday,Tuesday,5,2008
Date968,Weekday,Friday,10,2007
Date969,Weekend,Sunday,4,2016
Date970,Weekday,Monday,9,2012
Date971,Weekend,Saturday,2,2000
Date972,Weekday,Wednesday,2,1998
Date973,Weekday,Thursday,4,2015
Date974,Weekday,Tuesday,12,2023
Date975,Weekday,Wednesday,7,2021
Date976,Weekend,Friday,6,2011
Date977,Weekday,Monday,1,2024
Date978,Weekend,Saturday,7,2002
Date979,Weekday,Tuesday,1,1993
Date980,Weekday,Friday,1,2017
Date981,Weekend,Monday,11,2021
Date982,Weekday,Tuesday,1,2012
Date983,Weekend,Friday,4,2021
Date984,Weekend,Sunday,3,2020
Date985,Weekend,Friday,11,2005
Date986,Weekday,Thursday,1,2001
Date987,Weekday,Thursday,8,2002
Date988,Weekday,Thursday,4,1995
Date989,Weekend,Saturday,10,2006
Date990,Weekend,Friday,12,2006
Date991,Weekday,Tuesday,6,2014
Date992,Weekday,Friday,11,2014
Date993,Weekday,Monday,7,1993
Date994,Weekday,Tuesday,7,2019
Date995,Weekday,Tuesday,3,2014
Date996,Weekend,Monday,3,2000
Date997,Weekend,Saturday,3,2022
Date998,Weekend,Monday,9,2012
Date999,Weekday,Monday,7,1989
Date1000,Weekday,Friday,11,2008
Date1001,Weekday,Wednesday,8,2006
Date1002,Weekday,Wednesday,3,2010
Date1003,Weekday,Monday,12,2018
Date1004,Weekday,Thursday,10,2003
Date1005,Weekday,Thursday,8,2019
Date1006,Weekend,Monday,3,2016
Date1007,Weekday,Thursday,12,2023
Date1008,Weekend,Monday,5,2009
Date1009,Weekend,Saturday,9,2003
Date1010,Weekend,Sunday,7,2012
Date1011,Weekday,Monday,11,1995
Date1012,Weekend,Sunday,4,2007
Date1013,Weekday,Tuesday,11,1994
Date1014,Weekday,Thursday,4,1993
Date1015,Weekend,Sunday,10,2019
Date1016,Weekend,Friday,8,2008
Date1017,Weekday,Tuesday,11,2007
Date1018,Weekday,Wednesday,2,2001
Date1019,Weekend,Monday,11,2009
Date1020,Weekday,Tuesday,2,2006
Date1021,Weekday,Monday,4,2005
Date1022,Weekday,Thursday,7,2001
Date1023,Weekday,Tuesday,7,2005
Date1024,Weekday,Monday,4,1991
Date1025,Weekday,Monday,4,2015
Date1026,Weekend,Monday,7,2003
Date1027,Weekday,Thursday,2,2011
Date1028,Weekend,Saturday,10,1994
Date1029,Weekday,Thursday,4,1992
Date1030,Weekday,Thursday,12,2013
Date1031,Weekday,Tuesday,12,2005
Date1032,Weekday,Monday,4,2019
Date1033,Weekday,Monday,4,1993
Date1034,Weekday,Friday,7,2003
Date1035,Weekday,Friday,9,1997
Date1036,Weekend,Friday,4,2005
Date1037,Weekend,Saturday,11,2019
Date1038,Weekday,Friday,5,2019
Date1039,Weekday,Monday,3,1994
Date1040,Weekend,Sunday,12,2009
Date1041,Weekday,Friday,2,2018
Date1042,Weekend,Friday,5,2024
Date1043,Weekday,Monday,6,2016
Date1044,Weekend,Saturday,4,1994
Date1045,Weekday,Monday,10,2009
Date1046,Weekday,Tuesday,1,2014
Date1047,Weekend,Saturday,3,2000
Date1048,Weekday,Monday,1,1990
Date1049,Weekday,Friday,9,2013
Date1050,Weekend,Sunday,5,1996
Date1051,Weekend,Saturday,9,2006
Date1052,Weekday,Thursday,6,1990
Date1053,Weekend,Friday,7,1999
Date1054,Weekday,Friday,3,1993
Date1055,Weekday,Wednesday,9,2000
Date1056,Weekday,Thursday,7,1997
Date1057,Weekday,Tuesday,3,1992
Date1058,Weekday,Monday,3,2004
Date1059,Weekend,Friday,8,2019
Date1060,Weekday,Tuesday,10,2015
Date1061,Weekday,Wednesday,5,1996
Date1062,Weekend,Monday,1,2022
Date1063,Weekday,Thursday,12,2011
Date1064,Weekend,Saturday,9,2023
Date1065,Weekday,Tuesday,10,2011
Date1066,Weekday,Friday,6,2003
Date1067,Weekend,Friday,8,2001
Date1068,Weekday,Thursday,8,2018
Date1069,Weekday,Tuesday,8,1989
Date1070,Weekday,Tuesday,1,1995
Date1071,Weekend,Sunday,6,1999
Date1072,Weekend,Sunday,3,2013
Date1073,Weekend,Monday,7,1992
Date1074,Weekday,Monday,7,1995
Date1075,Weekend,Saturday,9,2012
Date1076,Weekend,Friday,7,2003
Date1077,Weekday,Friday,9,2003
Date1078,Weekend,Saturday,10,2005
Date1079,Weekend,Sunday,6,1992
Date1080,Weekend,Saturday,5,1995
Date1081,Weekend,Monday,7,2016
Date1082,Weekday,Friday,3,2015
Date1083,Weekday,Wednesday,10,2019
Date1084,Weekday,Friday,9,1993
Date1085,Weekend,Sunday,10,1996
Date1086,Weekend,Sunday,2,2007
Date1087,Weekend,Sunday,5,1992
Date1088,Weekend,Saturday,12,1992
Date1089,Weekend,Saturday,8,1999
Date1090,Weekday,Thursday,12,2005
Date1091,Weekend,Monday,3,1992
Date1092,Weekday,Thursday,3,2016
Date1093,Weekend,Monday,9,2002
Date1094,Weekday,Monday,7,1990
Date1095,Weekday,Friday,6,2012
Date1096,Weekday,Monday,6,2014
Date1097,Weekday,Friday,11,1991
Date1098,Weekend,Friday,11,2018
Date1099,Weekend,Saturday,8,1993
Date1100,Weekday,Tuesday,1,1998
Date1101,Weekday,Monday,11,2010
Date1102,Weekday,Thursday,4,2022
Date1103,Weekend,Sunday,2,2019
Date1104,Weekday,Friday,5,2011
Date1105,Weekend,Monday,4,2002
Date1106,Weekday,Friday,3,1997
Date1107,Weekday,Monday,2,1995
Date1108,Weekend,Friday,9,2007
Date1109,Weekday,Tuesday,9,2022
Date1110,Weekend,Monday,9,1996
Date1111,Weekday,Tuesday,10,1990
Date1112,Weekday,Wednesday,9,2001
Date1113,Weekend,Friday,1,2004
Date1114,Weekday,Wednesday,7,2019
Date1115,Weekday,Thursday,9,1994
Date1116,Weekend,Monday,12,1995
Date1117,Weekend,Monday,1,2024
Date1118,Weekday,Friday,9,2011
Date1119,Weekend,Saturday,3,1989
Date1120,Weekend,Friday,3,1992
Date1121,Weekday,Friday,8,2011
Date1122,Weekend,Sunday,5,2000
Date1123,Weekday,Tuesday,8,2008
Date1124,Weekday,Tuesday,2,2004
Date1125,Weekend,Sunday,4,2022
Date1126,Weekday,Wednesday,5,2021
Date1127,Weekday,Thursday,8,2022
Date1128,Weekday,Friday,2,1997
Date1129,Weekday,Friday,1,2012
Date1130,Weekday,Tuesday,5,2021
Date1131,Weekday,Monday,1,2008
Date1132,Weekday,Wednesday,11,2018
Date1133,Weekend,Sunday,6,2006
Date1134,Weekday,Tuesday,8,2019
Date1135,Weekday,Tuesday,6,2018
Date1136,Weekend,Friday,10,1999
Date1137,Weekday,Wednesday,8,2019
Date1138,Weekday,Friday,7,2022
Date1139,Weekend,Sunday,3,2006
Date1140,Weekend,Saturday,10,1996
Date1141,Weekend,Friday,6,2004
Date1142,Weekday,Monday,7,2007
Date1143,Weekend,Sunday,5,2001
Date1144,Weekend,Sunday,8,2020
Date1145,Weekday,Tuesday,11,2022
Date1146,Weekend,Sunday,1,2002
Date1147,Weekend,Sunday,2,1998
Date1148,Weekday,Thursday,1,2022
Date1149,Weekday,Wednesday,3,2004
Date1150,Weekday,Monday,11,2011
Date1151,Weekday,Monday,10,2015
Date1152,Weekend,Friday,12,1996
Date1153,Weekday,Tuesday,8,2014
Date1154,Weekday,Monday,8,1994
Date1155,Weekday,Wednesday,11,2004
Date1156,Weekend,Sunday,12,2016
Date1157,Weekend,Sunday,3,2007
Date1158,Weekend,Friday,10,1995
Date1159,Weekday,Wednesday,8,2009
Date1160,Weekend,Sunday,4,2003
Date1161,Weekend,Sunday,8,2019
Date1162,Weekday,Wednesday,1,2012
Date1163,Weekend,Sunday,6,2010
Date1164,Weekend,Sunday,9,2024
Date1165,Weekend,Sunday,12,2006
Date1166,Weekday,Tuesday,5,1989
Date1167,Weekend,Sunday,12,2000
Date1168,Weekday,Thursday,1,1995
Date1169,Weekday,Friday,5,2021
Date1170,Weekday,Thursday,5,1997
Date1171,Weekend,Saturday,2,2014
Date1172,Weekday,Thursday,11,1998
Date1173,Weekday,Monday,3,1993
Date1174,Weekend,Friday,10,2023
Date1175,Weekend,Saturday,7,2004
Date1176,Weekday,Thursday,8,1990
Date1177,Weekday,Tuesday,5,2001
Date1178,Weekend,Friday,3,1997
Date1179,Weekend,Monday,3,2018
Date1180,Weekend,Friday,3,2005
Date1181,Weekend,Friday,7,2007
Date1182,Weekend,Monday,9,2023
Date1183,Weekday,Thursday,6,2004
Date1184,Weekday,Thursday,1,2023
Date1185,Weekday,Monday,10,2022
Date1186,Weekend,Friday,6,2009
Date1187,Weekday,Friday,1,1999
Date1188,Weekend,Friday,12,2018
Date1189,Weekday,Monday,2,2024
Date1190,Weekend,Sunday,8,2010
Date1191,Weekday,Friday,12,2014
Date1192,Weekend,Saturday,4,1999
Date1193,Weekday,Tuesday,8,2000
Date1194,Weekday,Wednesday,12,2014
Date1195,Weekday,Friday,11,2016
Date1196,Weekend,Saturday,3,2001
Date1197,Weekday,Monday,5,2011
Date1198,Weekend,Sunday,7,2003
Date1199,Weekday,Tuesday,5,2014
Date1200,Weekday,Friday,6,1990
Date1201,Weekend,Sunday,6,2007
Date1202,Weekend,Friday,12,2009
Date1203,Weekend,Sunday,1,2022
Date1204,Weekend,Monday,4,1999
Date1205,Weekend,Friday,5,1999
Date1206,Weekday,Wednesday,1,2013
Date1207,Weekday,Monday,3,1997
Date1208,Weekday,Tuesday,4,1989
Date1209,Weekday,Thursday,4,2007
Date1210,Weekday,Thursday,11,1995
Date1211,Weekend,Saturday,4,1990
Date1212,Weekday,Monday,3,2008
Date1213,Weekend,Monday,10,1993
Date1214,Weekend,Saturday,4,1993
Date1215,Weekend,Sunday,5,2004
Date1216,Weekday,Friday,1,2007
Date1217,Weekday,Friday,1,1991
Date1218,Weekend,Friday,12,1989
Date1219,Weekend,Friday,8,2006
Date1220,Weekend,Monday,1,1998
Date1221,Weekday,Friday,9,2008
Date1222,Weekday,Wednesday,2,2016
Date1223,Weekend,Monday,5,1995
Date1224,Weekend,Monday,5,1994
Date1225,Weekend,Sunday,7,2009
Date1226,Weekend,Friday,1,2014
Date1227,Weekend,Friday,4,2012
Date1228,Weekday,Friday,11,2010
Date1229,Weekday,Friday,6,2002
Date1230,Weekend,Sunday,1,1994
Date1231,Weekday,Monday,8,2012
Date1232,Weekday,Thursday,9,2016
Date1233,Weekend,Saturday,9,1994
Date1234,Weekday,Wednesday,1,1995
Date1235,Weekend,Friday,1,2013
Date1236,Weekday,Thursday,3,2018
Date1237,Weekday,Tuesday,7,1990
Date1238,Weekend,Monday,10,2014
Date1239,Weekend,Monday,12,2004
Date1240,Weekday,Wednesday,8,1992
Date1241,Weekday,Monday,4,2022
Date1242,Weekday,Thursday,12,1998
Date1243,Weekday,Tuesday,10,2019
Date1244,Weekday,Wednesday,3,2011
Date1245,Weekend,Sunday,11,1999
Date1246,Weekend,Friday,8,2002
Date1247,Weekend,Monday,5,1990
Date1248,Weekday,Wednesday,6,2013
Date1249,Weekday,Thursday,7,1994
Date1250,Weekend,Monday,3,2015
Date1251,Weekday,Wednesday,7,2001
Date1252,Weekday,Tuesday,4,2015
Date1253,Weekend,Saturday,8,1998
Date1254,Weekday,Tuesday,1,2008
Date1255,Weekend,Saturday,8,2017
Date1256,Weekday,Wednesday,2,2018
Date1257,Weekend,Saturday,3,2014
Date1258,Weekend,Saturday,10,1989
Date1259,Weekday,Tuesday,6,1992
Date1260,Weekday,Monday,10,2004
Date1261,Weekday,Thursday,10,1997
Date1262,Weekend,Sunday,1,1989
Date1263,Weekday,Thursday,3,2004
Date1264,Weekday,Wednesday,9,1993
Date1265,Weekday,Wednesday,3,2007
Date1266,Weekday,Friday,8,1992
Date1267,Weekday,Wednesday,5,2012
Date1268,Weekend,Saturday,12,1996
Date1269,Weekday,Wednesday,12,2007
Date1270,Weekend,Saturday,10,1995
Date1271,Weekday,Thursday,10,2014
Date1272,Weekday,Tuesday,4,2012
Date1273,Weekend,Sunday,2,1992
Date1274,Weekday,Monday,3,1995
Date1275,Weekday,Friday,2,1990
Date1276,Weekend,Sunday,10,2012
Date1277,Weekend,Sunday,1,2024
Date1278,Weekend,Saturday,11,2012
Date1279,Weekend,Monday,11,2020
Date1280,Weekend,Saturday,3,2002
Date1281,Weekend,Sunday,3,2009
Date1282,Weekend,Friday,1,2020
Date1283,Weekday,Friday,6,2014
Date1284,Weekend,Friday,9,2019
Date1285,Weekend,Monday,11,2003
Date1286,Weekend,Sunday,10,2013
Date1287,Weekday,Wednesday,5,2014
Date1288,Weekend,Saturday,6,2016
Date1289,Weekday,Thursday,1,2018
Date1290,Weekend,Saturday,10,2001
Date1291,Weekday,Thursday,1,2020
Date1292,Weekend,Friday,6,1995
Date1293,Weekend,Friday,3,1993
Date1294,Weekday,Wednesday,11,2010
Date1295,Weekday,Wednesday,10,2006
Date1296,Weekend,Saturday,11,2008
Date1297,Weekend,Friday,7,2019
Date1298,Weekday,Tuesday,12,1997
Date1299,Weekday,Tuesday,9,1998
Date1300,Weekend,Saturday,6,2014
Date1301,Weekday,Thursday,6,2019
Date1302,Weekday,Tuesday,1,1989
Date1303,Weekday,Thursday,3,2009
Date1304,Weekday,Wednesday,2,1995
Date1305,Weekend,Monday,1,1989
Date1306,Weekend,Monday,12,2008
Date1307,Weekday,Tuesday,9,1989
Date1308,Weekday,Friday,4,2023
Date1309,Weekday,Friday,9,2006
Date1310,Weekend,Monday,12,2021
Date1311,Weekday,Monday,4,2008
Date1312,Weekday,Friday,1,2021
Date1313,Weekend,Friday,4,2003
Date1314,Weekday,Monday,2,2020
Date1315,Weekday,Thursday,8,2009
Date1316,Weekend,Saturday,8,2007
Date1317,Weekday,Friday,12,2001
Date1318,Weekend,Friday,4,1993
Date1319,Weekday,Tuesday,5,1998
Date1320,Weekday,Monday,11,1999
Date1321,Weekday,Friday,8,2010
Date1322,Weekend,Friday,6,2002
Date1323,Weekend,Sunday,9,2014
Date1324,Weekend,Saturday,3,2024
Date1325,Weekend,Saturday,7,1994
Date1326,Weekday,Wednesday,1,2006
Date1327,Weekend,Saturday,8,2016
Date1328,Weekday,Wednesday,4,1989
Date1329,Weekday,Wednesday,2,1993
Date1330,Weekend,Saturday,8,2011
Date1331,Weekday,Tuesday,5,1997
Date1332,Weekday,Thursday,4,1994
Date1333,Weekend,Monday,5,2010
Date1334,Weekday,Monday,12,1999
Date1335,Weekday,Friday,4,1993
Date1336,Weekend,Sunday,7,1990
Date1337,Weekend,Sunday,12,2012
Date1338,Weekday,Friday,9,2016
Date1339,Weekend,Sunday,5,2014
Date1340,Weekend,Monday,4,2024
Date1341,Weekday,Monday,3,2018
Date1342,Weekday,Tuesday,3,2005
Date1343,Weekend,Friday,7,2021
Date1344,Weekday,Tuesday,12,2020
Date1345,Weekday,Friday,9,2019
Date1346,Weekday,Wednesday,9,2017
Date1347,Weekday,Tuesday,5,2020
Date1348,Weekday,Thursday,2,2020
Date1349,Weekday,Wednesday,7,2006
Date1350,Weekend,Monday,10,1995
Date1351,Weekday,Tuesday,7,2020
Date1352,Weekday,Wednesday,3,1996
Date1353,Weekend,Monday,6,2015
Date1354,Weekday,Thursday,10,2017
Date1355,Weekday,Friday,2,2001
Date1356,Weekend,Friday,2,2012
Date1357,Weekday,Wednesday,9,2004
Date1358,Weekday,Thursday,3,2007
Date1359,Weekend,Saturday,1,2004
Date1360,Weekday,Monday,7,2019
Date1361,Weekday,Friday,7,2018
Date1362,Weekday,Wednesday,12,2015
Date1363,Weekday,Friday,12,1994
Date1364,Weekday,Wednesday,11,1996
Date1365,Weekend,Monday,8,1989
Date1366,Weekend,Monday,12,1998
Date1367,Weekend,Saturday,5,1993
Date1368,Weekday,Wednesday,4,1994
Date1369,Weekend,Friday,3,2016
Date1370,Weekend,Saturday,12,2020
Date1371,Weekday,Tuesday,11,1997
Date1372,Weekday,Monday,8,2019
Date1373,Weekday,Monday,6,2021
Date1374,Weekend,Friday,2,2006
Date1375,Weekday,Wednesday,9,1990
Date1376,Weekday,Thursday,9,2013
Date1377,Weekend,Friday,7,2008
Date1378,Weekday,Friday,8,2015
Date1379,Weekday,Friday,11,2015
Date1380,Weekend,Sunday,1,2017
Date1381,Weekday,Friday,5,2009
Date1382,Weekend,Saturday,10,2008
Date1383,Weekday,Friday,6,1998
Date1384,Weekday,Friday,7,2021
Date1385,Weekday,Thursday,2,1992
Date1386,Weekday,Tuesday,1,1991
Date1387,Weekend,Friday,2,1990
Date1388,Weekday,Monday,5,1997
Date1389,Weekday,Monday,11,2022
Date1390,Weekend,Monday,9,2011
Date1391,Weekday,Friday,8,2003
Date1392,Weekday,Tuesday,9,2009
Date1393,Weekend,Saturday,12,1989
Date1394,Weekday,Tuesday,2,2024
Date1395,Weekday,Tuesday,7,1999
Date1396,Weekday,Friday,4,2021
Date1397,Weekend,Saturday,5,2010
Date1398,Weekend,Monday,12,2017
Date1399,Weekday,Wednesday,2,2015
Date1400,Weekday,Monday,11,2014
Date1401,Weekend,Saturday,12,2011
Date1402,Weekday,Thursday,10,2002
Date1403,Weekend,Monday,7,2004
Date1404,Weekday,Friday,1,2002
Date1405,Weekday,Wednesday,10,2001
Date1406,Weekday,Tuesday,9,2014
Date1407,Weekday,Monday,4,2007
Date1408,Weekday,Thursday,6,1993
Date1409,Weekday,Monday,2,1990
Date1410,Weekend,Monday,11,2010
Date1411,Weekday,Thursday,4,2020
Date1412,Weekday,Monday,9,2006
Date1413,Weekday,Friday,12,2008
Date1414,Weekend,Sunday,11,2013
Date1415,Weekday,Tuesday,8,2011
Date1416,Weekend,Sunday,5,2008
Date1417,Weekday,Monday,9,1990
Date1418,Weekday,Monday,2,1989
Date1419,Weekend,Saturday,9,2018
Date1420,Weekend,Saturday,12,2013
Date1421,Weekday,Thursday,10,2013
Date1422,Weekday,Tuesday,6,2008
Date1423,Weekend,Friday,10,2005
Date1424,Weekday,Wednesday,3,2001
Date1425,Weekday,Friday,9,2007
Date1426,Weekday,Friday,1,2023
Date1427,Weekend,Friday,6,1998
Date1428,Weekend,Saturday,4,1998
Date1429,Weekday,Tuesday,4,1993
Date1430,Weekend,Monday,6,1989
Date1431,Weekday,Thursday,9,2012
Date1432,Weekday,Tuesday,8,2015
Date1433,Weekday,Friday,3,2021
Date1434,Weekend,Friday,8,1992
Date1435,Weekend,Friday,7,2000
Date1436,Weekend,Sunday,11,1998
Date1437,Weekday,Friday,7,2004
Date1438,Weekday,Monday,2,2012
Date1439,Weekday,Monday,8,2024
Date1440,Weekend,Friday,10,2004
Date1441,Weekday,Friday,7,1992
Date1442,Weekday,Wednesday,2,2010
Date1443,Weekend,Sunday,6,2004
Date1444,Weekend,Saturday,5,2005
Date1445,Weekend,Friday,12,2011
Date1446,Weekday,Wednesday,8,2008
Date1447,Weekday,Thursday,7,2011
Date1448,Weekday,Thursday,9,2020
Date1449,Weekend,Monday,4,2006
Date1450,Weekday,Thursday,8,1991
Date1451,Weekday,Monday,12,2008
Date1452,Weekday,Friday,9,2021
Date1453,Weekday,Thursday,11,1990
Date1454,Weekend,Sunday,11,2017
Date1455,Weekend,Friday,6,2003
Date1456,Weekday,Friday,1,2018
Date1457,Weekend,Monday,1,2017
Date1458,Weekday,Monday,4,2023
