DateID,Day of week,Dayweek,Month,Year
Date169,Weekend,Friday,2,1998
Date170,Weekday,Thursday,6,1996
Date171,Weekend,Sunday,12,2021
Date172,Weekday,Thursday,9,1998
Date173,Weekend,Sunday,11,2016
Date174,Weekday,Monday,9,1998
Date175,Weekday,Friday,2,2013
Date176,Weekday,Thursday,11,2001
Date177,Weekday,Monday,1,2016
Date178,Weekday,Thursday,5,2013
Date179,Weekday,Friday,2,1996
Date180,Weekend,Friday,8,2020
Date181,Weekend,Friday,11,2024
Date182,Weekday,Thursday,6,2020
Date183,Weekday,Monday,12,2022
Date184,Weekend,Saturday,8,2004
Date185,Weekend,Saturday,9,1996
Date186,Weekday,Wednesday,12,2004
Date187,Weekend,Friday,7,2001
Date188,Weekday,Monday,6,1990
Date189,Weekend,Saturday,6,2002
Date190,Weekday,Wednesday,9,2020
Date191,Weekday,Tuesday,9,2023
Date192,Weekday,Monday,2,2013
Date193,Weekend,Sunday,12,1998
Date194,Weekday,Tuesday,1,1997
Date195,Weekday,Thursday,8,1995
Date196,Weekday,Wednesday,11,1994
Date197,Weekday,Wednesday,4,2020
Date198,Weekday,Monday,10,2001
Date199,Weekend,Sunday,1,2012
Date200,Weekday,Friday,1,2020
Date201,Weekday,Friday,7,2014
Date202,Weekday,Friday,7,2023
Date203,Weekday,Thursday,1,2016
Date204,Weekday,Friday,7,1996
Date205,Weekend,Monday,9,1999
Date206,Weekend,Saturday,2,1996
Date207,Weekend,Monday,10,1999
Date208,Weekday,Thursday,2,2008
Date209,Weekday,Tuesday,2,2013
Date210,Weekday,Thursday,5,2001
Date211,Weekend,Saturday,4,2001
Date212,Weekday,Wednesday,11,2009
Date213,Weekend,Friday,12,1994
Date214,Weekday,Thursday,4,2004
Date215,Weekend,Friday,7,2006
Date216,Weekday,Thursday,5,2003
Date217,Weekend,Monday,11,2002
Date218,Weekday,Monday,12,2021
Date219,Weekend,Friday,8,1994
Date220,Weekend,Sunday,7,1999
Date221,Weekend,Sunday,7,1995
Date222,Weekday,Monday,7,2021
Date223,Weekend,Monday,5,2024
Date224,Weekend,Saturday,8,1995
Date225,Weekday,Tuesday,11,2015
Date226,Weekday,Tuesday,11,2000
Date227,Weekday,Wednesday,9,2008
Date228,Weekend,Friday,4,1991
Date229,Weekday,Tuesday,10,2008
Date230,Weekday,Monday,4,2020
Date231,Weekday,Tuesday,4,1995
Date232,Weekend,Friday,2,2016
Date233,Weekend,Friday,1,1998
Date234,Weekend,Saturday,7,2010
Date235,Weekday,Thursday,5,2002
Date236,Weekday,Monday,1,2022
Date237,Weekday,Friday,3,2009
Date238,Weekend,Sunday,4,2020
Date239,Weekend,Sunday,11,2005
Date240,Weekend,Monday,4,2010
Date241,Weekday,Thursday,7,2015
Date242,Weekday,Thursday,12,2021
Date243,Weekend,Sunday,12,1990
Date244,Weekday,Monday,10,1995
Date245,Weekend,Saturday,12,1998
Date246,Weekend,Friday,10,2001
Date247,Weekday,Tuesday,6,1995
Date248,Weekend,Monday,5,1991
Date249,Weekday,Monday,7,2004
Date250,Weekend,Sunday,2,1991
Date251,Weekend,Friday,8,1989
Date252,Weekend,Monday,10,2017
Date253,Weekday,Tuesday,5,2010
Date254,Weekday,Thursday,12,2018
Date255,Weekday,Monday,8,2004
Date256,Weekday,Thursday,11,2007
Date257,Weekday,Friday,12,1998
Date258,Weekday,Tuesday,1,2002
Date259,Weekend,Friday,7,2018
Date260,Weekday,Friday,10,1997
Date261,Weekend,Saturday,10,2011
Date262,Weekend,Monday,5,2016
Date263,Weekday,Friday,6,2001
Date264,Weekday,Monday,3,2007
Date265,Weekday,Thursday,11,1991
Date266,Weekday,Tuesday,6,1996
Date267,Weekend,Friday,2,2000
Date268,Weekend,Saturday,7,1996
Date269,Weekday,Monday,7,2015
Date270,Weekend,Friday,2,2011
Date271,Weekday,Thursday,1,1993
Date272,Weekend,Saturday,12,2008
Date273,Weekday,Thursday,9,2024
Date274,Weekday,Thursday,9,2006
Date275,Weekday,Tuesday,12,1999
Date276,Weekday,Wednesday,2,2024
Date277,Weekend,Monday,8,2020
Date278,Weekday,Friday,12,1997
Date279,Weekday,Wednesday,1,2024
Date280,Weekend,Saturday,3,2012
Date281,Weekday,Thursday,3,2021
Date282,Weekday,Monday,10,2018
Date283,Weekend,Saturday,2,2017
Date284,Weekday,Wednesday,3,2021
Date285,Weekend,Friday,2,1994
Date286,Weekday,Tuesday,7,2010
