GeoID,Ste Name21,Sa4 Name21,Lga Name21,National Remoteness Areas
Geo389,Northern Territory,Northern Territory - Outback,West Arnhem,Very Remote Australia
Geo390,New South Wales,Murray,Hay,Outer Regional Australia
Geo391,South Australia,Unknown,Unknown,Unknown
Geo392,New South Wales,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia
Geo393,Victoria,North West,Yarriambiack,Outer Regional Australia
Geo394,New South Wales,Richmond - Tweed,Ballina,Inner Regional Australia
Geo395,South Australia,Adelaide - North,Salisbury,Major Cities of Australia
Geo396,Queensland,Townsville,Hinchinbrook,Remote Australia
Geo397,South Australia,Adelaide - Central and Hills,Burnside,Major Cities of Australia
Geo398,Victoria,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia
Geo399,Queensland,Wide Bay,Fraser Coast,Outer Regional Australia
Geo400,Queensland,Ipswich,Ipswich,Major Cities of Australia
Geo401,New South Wales,Sydney - Outer South West,Wingecarribee,Inner Regional Australia
Geo402,South Australia,South Australia - Outback,Coober Pedy,Very Remote Australia
Geo403,New South Wales,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia
Geo404,Western Australia,Mandurah,Murray,Major Cities of Australia
Geo405,Western Australia,Perth - South East,Victoria Park,Major Cities of Australia
Geo406,New South Wales,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia
Geo407,New South Wales,Far West and Orana,Coonamble,Remote Australia
Geo408,Western Australia,Western Australia - Wheat Belt,Gingin,Inner Regional Australia
Geo409,Victoria,Warrnambool and South West,Southern Grampians,Inner Regional Australia
Geo410,Victoria,Ballarat,Pyrenees,Inner Regional Australia
Geo411,Tasmania,West and North West,Waratah-Wynyard,Outer Regional Australia
Geo412,Western Australia,Perth - North East,Mundaring,Inner Regional Australia
Geo413,New South Wales,Central West,Parkes,Outer Regional Australia
Geo414,New South Wales,Murray,Federation,Inner Regional Australia
Geo415,Victoria,Melbourne - Inner,Melbourne,Major Cities of Australia
Geo416,Victoria,Melbourne - North West,Moonee Valley,Major Cities of Australia
Geo417,Tasmania,Hobart,Sorell,Inner Regional Australia
Geo418,Western Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,Very Remote Australia
Geo419,South Australia,South Australia - South East,Coorong,Inner Regional Australia
Geo420,South Australia,Adelaide - West,Charles Sturt,Major Cities of Australia
Geo421,Queensland,Darling Downs - Maranoa,Toowoomba,Outer Regional Australia
Geo422,Western Australia,Western Australia - Wheat Belt,Merredin,Remote Australia
Geo423,South Australia,Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia
Geo424,Western Australia,Unknown,Unknown,Remote Australia
Geo425,New South Wales,Far West and Orana,Cabonne,Outer Regional Australia
Geo426,South Australia,South Australia - South East,Murray Bridge,Inner Regional Australia
Geo427,Northern Territory,Northern Territory - Outback,Roper Gulf,Very Remote Australia
Geo428,Queensland,Gold Coast,Gold Coast,Inner Regional Australia
Geo429,Western Australia,Mandurah,Mandurah,Major Cities of Australia
Geo430,New South Wales,Sydney - South West,Fairfield,Major Cities of Australia
Geo431,Western Australia,Western Australia - Wheat Belt,Kojonup,Outer Regional Australia
Geo432,Western Australia,Western Australia - Wheat Belt,Broomehill-Tambellup,Outer Regional Australia
Geo433,Queensland,Wide Bay,South Burnett,Outer Regional Australia
Geo434,Queensland,Cairns,Tablelands,Remote Australia
Geo435,Western Australia,Perth - Inner,Subiaco,Major Cities of Australia
Geo436,Victoria,Melbourne - Outer East,Maroondah,Major Cities of Australia
Geo437,Queensland,Queensland - Outback,Barcoo,Very Remote Australia
Geo438,New South Wales,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia
Geo439,Victoria,Latrobe - Gippsland,East Gippsland,Remote Australia
Geo440,New South Wales,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia
Geo441,South Australia,Adelaide - North,Playford,Inner Regional Australia
Geo442,New South Wales,Capital Region,Eurobodalla,Inner Regional Australia
Geo443,New South Wales,Sydney - Parramatta,Blacktown,Major Cities of Australia
Geo444,New South Wales,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia
Geo445,Queensland,Brisbane - South,Brisbane,Major Cities of Australia
Geo446,Victoria,Warrnambool and South West,Colac Otway,Inner Regional Australia
Geo447,Tasmania,Launceston and North East,Break O'Day,Remote Australia
Geo448,New South Wales,Riverina,Narrandera,Outer Regional Australia
Geo449,Western Australia,Western Australia - Wheat Belt,Moora,Remote Australia
Geo450,New South Wales,New England and North West,Tamworth Regional,Outer Regional Australia
Geo451,New South Wales,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia
Geo452,Tasmania,South East,Kingborough,Outer Regional Australia
Geo453,Western Australia,Bunbury,Dardanup,Inner Regional Australia
Geo454,New South Wales,Capital Region,Snowy Monaro Regional,Inner Regional Australia
Geo455,New South Wales,New England and North West,Moree Plains,Remote Australia
Geo456,Victoria,Ballarat,Pyrenees,Outer Regional Australia
Geo457,New South Wales,Coffs Harbour - Grafton,Richmond Valley,Outer Regional Australia
Geo458,South Australia,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia
Geo459,New South Wales,Far West and Orana,Warrumbungle,Outer Regional Australia
Geo460,Victoria,Melbourne - Inner,Port Phillip,Major Cities of Australia
Geo461,New South Wales,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Outer Regional Australia
Geo462,Queensland,Central Queensland,Central Highlands (Qld),Outer Regional Australia
Geo463,Victoria,Warrnambool and South West,Moyne,Outer Regional Australia
Geo464,South Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia
Geo465,Western Australia,Perth - North East,Bassendean,Major Cities of Australia
Geo466,Western Australia,Western Australia - Wheat Belt,Kulin,Remote Australia
Geo467,Western Australia,Western Australia - Wheat Belt,Gnowangerup,Outer Regional Australia
Geo468,Victoria,Melbourne - Inner East,Whitehorse,Major Cities of Australia
Geo469,New South Wales,Capital Region,Goulburn Mulwaree,Outer Regional Australia
Geo470,New South Wales,Hunter Valley exc Newcastle,Maitland,Inner Regional Australia
Geo471,Western Australia,Western Australia - Wheat Belt,Cuballing,Outer Regional Australia
Geo472,Queensland,Gold Coast,Gold Coast,Major Cities of Australia
Geo473,Victoria,Latrobe - Gippsland,Baw Baw,Inner Regional Australia
Geo474,New South Wales,Riverina,Lockhart,Outer Regional Australia
Geo475,Victoria,Ballarat,Golden Plains,Inner Regional Australia
Geo476,Victoria,Warrnambool and South West,Surf Coast,Inner Regional Australia
Geo477,New South Wales,Hunter Valley exc Newcastle,Dungog,Inner Regional Australia
Geo478,Western Australia,Western Australia - Wheat Belt,Gnowangerup,Remote Australia
Geo479,Northern Territory,Northern Territory - Outback,West Daly,Very Remote Australia
Geo480,Victoria,Ballarat,Ararat,Inner Regional Australia
Geo481,Queensland,Wide Bay,North Burnett,Outer Regional Australia
Geo482,Tasmania,Launceston and North East,Launceston,Outer Regional Australia
Geo483,Victoria,Melbourne - Inner South,Glen Eira,Major Cities of Australia
Geo484,Western Australia,Western Australia - Outback (North),Karratha,Very Remote Australia
Geo485,Western Australia,Perth - South West,Kwinana,Major Cities of Australia
Geo486,Victoria,Melbourne - Inner,Moonee Valley,Major Cities of Australia
Geo487,New South Wales,Central West,Blayney,Inner Regional Australia
Geo488,Western Australia,Western Australia - Outback (North),Halls Creek,Very Remote Australia
Geo489,Victoria,Ballarat,Ararat,Outer Regional Australia
Geo490,New South Wales,Hunter Valley exc Newcastle,Muswellbrook,Outer Regional Australia
Geo491,Victoria,Latrobe - Gippsland,Baw Baw,Outer Regional Australia
Geo492,Queensland,Queensland - Outback,Quilpie,Very Remote Australia
Geo493,Victoria,Melbourne - South East,Casey,Major Cities of Australia
Geo494,Western Australia,Western Australia - Outback (South),Perenjori,Remote Australia
Geo495,Western Australia,Bunbury,Donnybrook-Balingup,Inner Regional Australia
Geo496,Queensland,Central Queensland,Livingstone,Outer Regional Australia
Geo497,Victoria,Mornington Peninsula,Frankston,Major Cities of Australia
Geo498,New South Wales,Sydney - Outer West and Blue Mountains,Penrith,Inner Regional Australia
Geo499,Northern Territory,Northern Territory - Outback,West Daly,Remote Australia
Geo500,Queensland,Sunshine Coast,Sunshine Coast,Major Cities of Australia
Geo501,Western Australia,Western Australia - Outback (South),Greater Geraldton,Remote Australia
Geo502,New South Wales,Riverina,Federation,Outer Regional Australia
Geo503,Queensland,Brisbane - West,Brisbane,Inner Regional Australia
Geo504,Queensland,Moreton Bay - North,Sunshine Coast,Inner Regional Australia
Geo505,New South Wales,New England and North West,Walcha,Outer Regional Australia
Geo506,Queensland,Logan - Beaudesert,Scenic Rim,Inner Regional Australia
Geo507,New South Wales,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia
Geo508,New South Wales,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia
Geo509,Queensland,Brisbane - East,Redland,Outer Regional Australia
Geo510,New South Wales,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia
Geo511,Western Australia,Western Australia - Wheat Belt,Nungarin,Remote Australia
Geo512,Victoria,Melbourne - Outer East,Manningham,Major Cities of Australia
Geo513,Queensland,Townsville,Townsville,Outer Regional Australia
Geo514,New South Wales,Murray,Wentworth,Outer Regional Australia
Geo515,Queensland,Central Queensland,Rockhampton,Inner Regional Australia
Geo516,New South Wales,Sydney - Ryde,Hunters Hill,Major Cities of Australia
Geo517,Victoria,Latrobe - Gippsland,Wellington,Outer Regional Australia
Geo518,Victoria,Latrobe - Gippsland,Wellington,Inner Regional Australia
Geo519,South Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia
Geo520,New South Wales,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia
Geo521,Queensland,Moreton Bay - South,Moreton Bay,Inner Regional Australia
Geo522,Queensland,Queensland - Outback,Mareeba,Very Remote Australia
Geo523,Northern Territory,Northern Territory - Outback,East Arnhem,Very Remote Australia
Geo524,Western Australia,Western Australia - Outback (North),Port Hedland,Remote Australia
Geo525,New South Wales,Illawarra,Kiama,Major Cities of Australia
Geo526,Queensland,Queensland - Outback,Carpentaria,Very Remote Australia
Geo527,Victoria,Melbourne - North East,Murrindindi,Inner Regional Australia
Geo528,Victoria,Melbourne - South East,Greater Dandenong,Major Cities of Australia
Geo529,New South Wales,Far West and Orana,Narromine,Outer Regional Australia
Geo530,Northern Territory,Darwin,Litchfield,Outer Regional Australia
Geo531,Tasmania,South East,Huon Valley,Outer Regional Australia
Geo532,South Australia,South Australia - Outback,Lower Eyre Peninsula,Remote Australia
Geo533,New South Wales,Richmond - Tweed,Richmond Valley,Inner Regional Australia
Geo534,South Australia,South Australia - South East,Wattle Range,Outer Regional Australia
Geo535,New South Wales,New England and North West,Gwydir,Outer Regional Australia
Geo536,Victoria,North West,Mildura,Remote Australia
Geo537,New South Wales,New England and North West,Glen Innes Severn,Outer Regional Australia
Geo538,Western Australia,Western Australia - Wheat Belt,Denmark,Outer Regional Australia
Geo539,South Australia,South Australia - Outback,Unincorporated SA,Very Remote Australia
Geo540,Australian Capital Territory,Unknown,Unknown,Unknown
Geo541,Western Australia,Western Australia - Outback (South),Mount Magnet,Very Remote Australia
Geo542,Queensland,Queensland - Outback,Hope Vale,Remote Australia
Geo543,South Australia,South Australia - Outback,Streaky Bay,Very Remote Australia
Geo544,Western Australia,Western Australia - Wheat Belt,Wagin,Outer Regional Australia
Geo545,Victoria,Geelong,Golden Plains,Inner Regional Australia
Geo546,New South Wales,Richmond - Tweed,Byron,Inner Regional Australia
Geo547,New South Wales,Murray,Hay,Remote Australia
Geo548,New South Wales,Richmond - Tweed,Kyogle,Inner Regional Australia
Geo549,Queensland,Cairns,Cassowary Coast,Remote Australia
Geo550,Queensland,Logan - Beaudesert,Scenic Rim,Outer Regional Australia
Geo551,Western Australia,Western Australia - Wheat Belt,Kondinin,Remote Australia
Geo552,Queensland,Ipswich,Brisbane,Major Cities of Australia
Geo553,Western Australia,Western Australia - Outback (South),Mingenew,Outer Regional Australia
Geo554,New South Wales,New England and North West,Moree Plains,Outer Regional Australia
Geo555,Victoria,Warrnambool and South West,Southern Grampians,Outer Regional Australia
Geo556,Victoria,Shepparton,Campaspe,Inner Regional Australia
Geo557,Western Australia,Western Australia - Outback (South),Menzies,Very Remote Australia
Geo558,New South Wales,Capital Region,Queanbeyan-Palerang Regional,Major Cities of Australia
Geo559,New South Wales,Capital Region,Upper Lachlan,Inner Regional Australia
Geo560,New South Wales,Far West and Orana,Warren,Remote Australia
Geo561,Western Australia,Western Australia - Wheat Belt,Woodanilling,Outer Regional Australia
Geo562,Victoria,North West,Northern Grampians,Outer Regional Australia
Geo563,Tasmania,Hobart,Kingborough,Inner Regional Australia
Geo564,Victoria,Melbourne - Outer East,Whitehorse,Major Cities of Australia
Geo565,South Australia,South Australia - South East,Loxton Waikerie,Outer Regional Australia
Geo566,Western Australia,Western Australia - Wheat Belt,Wickepin,Outer Regional Australia
Geo567,South Australia,Adelaide - Central and Hills,Adelaide,Major Cities of Australia
Geo568,Western Australia,Perth - North West,Wanneroo,Major Cities of Australia
Geo569,Queensland,Darling Downs - Maranoa,Balonne,Remote Australia
Geo570,New South Wales,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia
Geo571,New South Wales,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia
Geo572,South Australia,South Australia - South East,Kingston (SA),Outer Regional Australia
Geo573,Victoria,North West,Gannawarra,Outer Regional Australia
Geo574,Victoria,North West,Ararat,Inner Regional Australia
Geo575,Victoria,North West,Swan Hill,Outer Regional Australia
Geo576,Queensland,Darling Downs - Maranoa,Maranoa,Very Remote Australia
Geo577,New South Wales,Sydney - Inner West,Inner West,Major Cities of Australia
Geo578,Tasmania,South East,Derwent Valley,Outer Regional Australia
Geo579,New South Wales,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia
Geo580,New South Wales,Illawarra,Wollongong,Major Cities of Australia
Geo581,New South Wales,Central West,Cabonne,Outer Regional Australia
Geo582,Northern Territory,Northern Territory - Outback,Barkly,Very Remote Australia
Geo583,Tasmania,Hobart,Sorell,Outer Regional Australia
Geo584,Queensland,Central Queensland,Rockhampton,Outer Regional Australia
Geo585,South Australia,Adelaide - South,Onkaparinga,Inner Regional Australia
Geo586,Queensland,Wide Bay,Gympie,Inner Regional Australia
Geo587,Western Australia,Western Australia - Wheat Belt,Kondinin,Very Remote Australia
Geo588,South Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Major Cities of Australia
Geo589,Victoria,Hume,Wangaratta,Inner Regional Australia
Geo590,New South Wales,Capital Region,Queanbeyan-Palerang Regional,Inner Regional Australia
Geo591,Victoria,Melbourne - North East,Nillumbik,Inner Regional Australia
Geo592,Western Australia,Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia
Geo593,New South Wales,Sydney - Sutherland,Sutherland,Inner Regional Australia
Geo594,Western Australia,Bunbury,Boyup Brook,Outer Regional Australia
Geo595,Tasmania,South East,Southern Midlands,Outer Regional Australia
Geo596,South Australia,South Australia - South East,Southern Mallee,Outer Regional Australia
Geo597,Queensland,Toowoomba,Toowoomba,Inner Regional Australia
Geo598,Queensland,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia
Geo599,New South Wales,Sydney - Blacktown,Blacktown,Major Cities of Australia
Geo600,Queensland,Wide Bay,Gympie,Outer Regional Australia
Geo601,South Australia,Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia
Geo602,New South Wales,Far West and Orana,Central Darling,Very Remote Australia
Geo603,Queensland,Wide Bay,South Burnett,Inner Regional Australia
Geo604,Northern Territory,Unknown,Unknown,Unknown
Geo605,New South Wales,Sydney - City and Inner South,Randwick,Major Cities of Australia
Geo606,Victoria,Hume,Alpine,Outer Regional Australia
Geo607,Western Australia,Perth - South East,Kalamunda,Major Cities of Australia
Geo608,Queensland,Sunshine Coast,Noosa,Major Cities of Australia
Geo609,New South Wales,Far West and Orana,Walgett,Remote Australia
Geo610,Victoria,Warrnambool and South West,Glenelg,Outer Regional Australia
Geo611,South Australia,Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia
Geo612,New South Wales,Central West,Oberon,Inner Regional Australia
Geo613,Queensland,Queensland - Outback,Mareeba,Remote Australia
Geo614,South Australia,Adelaide - South,Onkaparinga,Major Cities of Australia
Geo615,Queensland,Central Queensland,Banana,Outer Regional Australia
Geo616,New South Wales,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia
Geo617,Western Australia,Perth - North East,Swan,Inner Regional Australia
Geo618,Western Australia,Bunbury,Nannup,Outer Regional Australia
Geo619,South Australia,Barossa - Yorke - Mid North,Northern Areas,Outer Regional Australia
Geo620,New South Wales,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Major Cities of Australia
Geo621,Queensland,Queensland - Outback,Croydon,Very Remote Australia
Geo622,Queensland,Moreton Bay - North,Somerset,Outer Regional Australia
Geo623,Queensland,Brisbane - East,Redland,Major Cities of Australia
Geo624,Victoria,Ballarat,Ballarat,Inner Regional Australia
Geo625,New South Wales,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia
Geo626,Western Australia,Western Australia - Outback (South),Chapman Valley,Outer Regional Australia
Geo627,Queensland,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia
Geo628,Victoria,Melbourne - North West,Moreland,Major Cities of Australia
Geo629,Western Australia,Western Australia - Outback (South),Chapman Valley,Remote Australia
Geo630,New South Wales,Sydney - Outer South West,Camden,Major Cities of Australia
Geo631,Western Australia,Western Australia - Outback (South),Carnamah,Remote Australia
Geo632,Queensland,Darling Downs - Maranoa,Maranoa,Remote Australia
Geo633,New South Wales,Capital Region,Hilltops,Inner Regional Australia
Geo634,Queensland,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia
Geo635,South Australia,South Australia - South East,Robe,Outer Regional Australia
Geo636,Victoria,Latrobe - Gippsland,South Gippsland,Outer Regional Australia
Geo637,Western Australia,Western Australia - Outback (South),Morawa,Remote Australia
Geo638,Victoria,Ballarat,Loddon,Inner Regional Australia
Geo639,Queensland,Queensland - Outback,Mareeba,Outer Regional Australia
Geo640,Victoria,Hume,Alpine,Inner Regional Australia
Geo641,Victoria,Melbourne - Inner East,Manningham,Major Cities of Australia
Geo642,Queensland,Brisbane Inner City,Brisbane,Major Cities of Australia
Geo643,Queensland,Queensland - Outback,Mount Isa,Very Remote Australia
Geo644,Queensland,Moreton Bay - North,Moreton Bay,Inner Regional Australia
Geo645,New South Wales,Riverina,Snowy Valleys,Outer Regional Australia
Geo646,Western Australia,Bunbury,Bridgetown-Greenbushes,Outer Regional Australia
Geo647,South Australia,South Australia - Outback,Franklin Harbour,Outer Regional Australia
Geo648,South Australia,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia
Geo649,New South Wales,Central West,Orange,Inner Regional Australia
Geo650,South Australia,Adelaide - Central and Hills,Prospect,Major Cities of Australia
Geo651,Victoria,Geelong,Greater Geelong,Inner Regional Australia
Geo652,New South Wales,Sydney - Ryde,The Hills,Major Cities of Australia
Geo653,South Australia,Adelaide - North,Adelaide Plains,Inner Regional Australia
Geo654,New South Wales,Hunter Valley exc Newcastle,Singleton,Outer Regional Australia
Geo655,Tasmania,Launceston and North East,Launceston,Inner Regional Australia
Geo656,New South Wales,Sydney - South West,Liverpool,Major Cities of Australia
Geo657,South Australia,South Australia - Outback,Unincorporated SA,Remote Australia
Geo658,New South Wales,Mid North Coast,Nambucca Valley,Outer Regional Australia
Geo659,Victoria,Latrobe - Gippsland,Bass Coast,Inner Regional Australia
Geo660,New South Wales,Far West and Orana,Dubbo Regional,Inner Regional Australia
Geo661,Queensland,Darling Downs - Maranoa,Western Downs,Inner Regional Australia
Geo662,Victoria,Melbourne - West,Hobsons Bay,Major Cities of Australia
Geo663,Queensland,Brisbane - North,Brisbane,Major Cities of Australia
Geo664,Western Australia,Perth - Inner,Cottesloe,Major Cities of Australia
Geo665,South Australia,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia
Geo666,South Australia,Adelaide - South,Mitcham,Major Cities of Australia
Geo667,New South Wales,Riverina,Carrathool,Outer Regional Australia
Geo668,New South Wales,Sydney - Parramatta,Cumberland,Major Cities of Australia
Geo669,Queensland,Sunshine Coast,Sunshine Coast,Inner Regional Australia
Geo670,New South Wales,Riverina,Cootamundra-Gundagai,Outer Regional Australia
Geo671,South Australia,Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia
Geo672,South Australia,South Australia - Outback,Anangu Pitjantjatjara Yunkunytjatjara,Very Remote Australia
Geo673,Victoria,Hume,Towong,Outer Regional Australia
Geo674,New South Wales,Far West and Orana,Brewarrina,Very Remote Australia
Geo675,Victoria,Melbourne - North East,Nillumbik,Major Cities of Australia
Geo676,Victoria,Warrnambool and South West,Colac Otway,Outer Regional Australia
Geo677,Queensland,Brisbane - East,Brisbane,Major Cities of Australia
Geo678,South Australia,Adelaide - North,Playford,Major Cities of Australia
Geo679,New South Wales,Riverina,Junee,Outer Regional Australia
Geo680,New South Wales,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia
Geo681,South Australia,South Australia - Outback,Wudinna,Remote Australia
Geo682,Western Australia,Unknown,Unknown,Major Cities of Australia
Geo683,New South Wales,Mid North Coast,Port Macquarie-Hastings,Outer Regional Australia
Geo684,Queensland,Queensland - Outback,Pormpuraaw,Very Remote Australia
Geo685,Queensland,Queensland - Outback,Cook,Very Remote Australia
Geo686,New South Wales,Riverina,Griffith,Outer Regional Australia
Geo687,Victoria,Melbourne - Inner,Stonnington,Major Cities of Australia
Geo688,Western Australia,Western Australia - Wheat Belt,Wickepin,Remote Australia
Geo689,New South Wales,Sydney - City and Inner South,Bayside,Major Cities of Australia
Geo690,Queensland,Queensland - Outback,Cook,Remote Australia
Geo691,Western Australia,Western Australia - Outback (North),Port Hedland,Very Remote Australia
Geo692,Victoria,Melbourne - Inner South,Monash,Major Cities of Australia
Geo693,Western Australia,Western Australia - Wheat Belt,Northam,Inner Regional Australia
Geo694,Western Australia,Western Australia - Wheat Belt,Moora,Outer Regional Australia
Geo695,Western Australia,Western Australia - Wheat Belt,Murray,Inner Regional Australia
Geo696,Tasmania,South East,Glamorgan-Spring Bay,Outer Regional Australia
Geo697,New South Wales,Capital Region,Hilltops,Outer Regional Australia
Geo698,Western Australia,Western Australia - Wheat Belt,Cranbrook,Outer Regional Australia
Geo699,Northern Territory,Northern Territory - Outback,MacDonnell,Very Remote Australia
Geo700,Victoria,North West,Ararat,Outer Regional Australia
Geo701,Western Australia,Bunbury,Manjimup,Remote Australia
Geo702,New South Wales,Sydney - Ryde,Ryde,Major Cities of Australia
Geo703,Victoria,North West,Buloke,Outer Regional Australia
Geo704,South Australia,South Australia - South East,Yankalilla,Inner Regional Australia
Geo705,New South Wales,Sydney - Outer South West,Wollondilly,Major Cities of Australia
Geo706,Victoria,Melbourne - Inner East,Boroondara,Major Cities of Australia
Geo707,South Australia,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia
Geo708,Northern Territory,Northern Territory - Outback,Alice Springs,Remote Australia
Geo709,New South Wales,Sydney - Parramatta,Canterbury-Bankstown,Major Cities of Australia
Geo710,Western Australia,Western Australia - Wheat Belt,Westonia,Remote Australia
Geo711,Victoria,Bendigo,Macedon Ranges,Inner Regional Australia
Geo712,Western Australia,Western Australia - Wheat Belt,Quairading,Outer Regional Australia
Geo713,New South Wales,Capital Region,Yass Valley,Inner Regional Australia
Geo714,Western Australia,Perth - South East,Gosnells,Major Cities of Australia
Geo715,New South Wales,Capital Region,Yass Valley,Major Cities of Australia
Geo716,Western Australia,Perth - Inner,Cambridge,Major Cities of Australia
Geo717,Queensland,Sunshine Coast,Noosa,Inner Regional Australia
Geo718,New South Wales,Riverina,Temora,Outer Regional Australia
Geo719,New South Wales,Illawarra,Wollongong,Inner Regional Australia
Geo720,New South Wales,Central West,Bland,Outer Regional Australia
Geo721,Tasmania,West and North West,West Coast,Remote Australia
Geo722,South Australia,Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia
Geo723,New South Wales,Illawarra,Shellharbour,Major Cities of Australia
Geo724,South Australia,Adelaide - North,Light,Inner Regional Australia
Geo725,Western Australia,Bunbury,Collie,Inner Regional Australia
Geo726,Victoria,Melbourne - South East,Casey,Inner Regional Australia
Geo727,New South Wales,Mid North Coast,Nambucca Valley,Inner Regional Australia
Geo728,New South Wales,Central West,Blayney,Outer Regional Australia
Geo729,New South Wales,New England and North West,Tamworth Regional,Inner Regional Australia
Geo730,Queensland,Darling Downs - Maranoa,Western Downs,Outer Regional Australia
Geo731,Queensland,Moreton Bay - North,Moreton Bay,Major Cities of Australia
Geo732,Victoria,Bendigo,Greater Bendigo,Inner Regional Australia
Geo733,Victoria,North West,West Wimmera,Outer Regional Australia
Geo734,Tasmania,Launceston and North East,Northern Midlands,Inner Regional Australia
Geo735,Western Australia,Western Australia - Outback (South),Irwin,Outer Regional Australia
Geo736,Queensland,Cairns,Cassowary Coast,Outer Regional Australia
Geo737,New South Wales,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia
Geo738,New South Wales,Central West,Bathurst Regional,Outer Regional Australia
Geo739,New South Wales,Sydney - South West,Penrith,Major Cities of Australia
Geo740,South Australia,Adelaide - North,Port Adelaide Enfield,Major Cities of Australia
Geo741,New South Wales,Central West,Bathurst Regional,Inner Regional Australia
Geo742,Queensland,Cairns,Douglas,Remote Australia
Geo743,Victoria,Hume,Towong,Inner Regional Australia
Geo744,Western Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia
Geo745,Tasmania,West and North West,Central Coast (Tas.),Outer Regional Australia
Geo746,Victoria,Melbourne - Outer East,Knox,Major Cities of Australia
Geo747,Western Australia,Western Australia - Outback (South),Esperance,Very Remote Australia
Geo748,Tasmania,West and North West,Kentish,Outer Regional Australia
Geo749,Victoria,Melbourne - North East,Whittlesea,Major Cities of Australia
Geo750,Western Australia,Perth - North East,Swan,Major Cities of Australia
Geo751,South Australia,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia
Geo752,South Australia,Adelaide - West,West Torrens,Major Cities of Australia
Geo753,Victoria,Hume,Unincorporated Vic,Outer Regional Australia
Geo754,Western Australia,Western Australia - Wheat Belt,Kellerberrin,Outer Regional Australia
Geo755,Tasmania,West and North West,Circular Head,Remote Australia
Geo756,New South Wales,Sydney - Parramatta,Parramatta,Major Cities of Australia
Geo757,South Australia,South Australia - South East,Tatiara,Remote Australia
Geo758,Western Australia,Bunbury,Augusta Margaret River,Outer Regional Australia
Geo759,South Australia,South Australia - South East,Kingston (SA),Remote Australia
Geo760,Victoria,Hume,Strathbogie,Inner Regional Australia
Geo761,Western Australia,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia
Geo762,Victoria,Hume,Wodonga,Inner Regional Australia
Geo763,Victoria,Shepparton,Moira,Outer Regional Australia
Geo764,New South Wales,Riverina,Wagga Wagga,Inner Regional Australia
Geo765,Western Australia,Western Australia - Wheat Belt,Wongan-Ballidu,Outer Regional Australia
Geo766,New South Wales,Far West and Orana,Dubbo Regional,Outer Regional Australia
Geo767,South Australia,Barossa - Yorke - Mid North,Orroroo Carrieton,Outer Regional Australia
Geo768,Victoria,Hume,Indigo,Inner Regional Australia
Geo769,New South Wales,Mid North Coast,Nambucca,Inner Regional Australia
Geo770,New South Wales,Sydney - City and Inner South,Sydney,Major Cities of Australia
Geo771,New South Wales,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia
Geo772,New South Wales,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia
Geo773,Western Australia,Western Australia - Outback (South),Ngaanyatjarraku,Very Remote Australia
Geo774,Queensland,Townsville,Charters Towers,Remote Australia
