FatalityId,Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities
Fatality9509,20192184,Vic,4,1991,Friday,12:00:00.000000000,Single,No,Yes,No,50,Pedestrian,Female,87,Major Cities of Australia,Melbourne - Inner,Melbourne,Local Road,No,No,75_or_older,Weekday,Night,1
Fatality9510,20185125,WA,9,1992,Friday,09:40:00.000000000,Single,No,Yes,No,110,Driver,Male,48,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan,Local Road,No,No,40_to_64,Weekday,Day,1
Fatality9511,20154066,SA,2,1993,Friday,20:08:00.000000000,Multiple,No,No,No,100,Driver,Male,48,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Arterial Road,No,No,40_to_64,Weekend,Night,1
Fatality9512,20233122,Qld,7,1989,Friday,19:00:00.000000000,Multiple,No,No,No,70,Unknown,Male,28,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,No,No,26_to_39,Weekend,Night,1
Fatality9513,20214043,SA,3,1990,Friday,14:25:00.000000000,Single,No,No,No,110,Driver,Male,52,Inner Regional Australia,Adelaide - North,Light,National or State Highway,No,No,40_to_64,Weekday,Day,1
Fatality9514,20203094,Qld,11,1991,Wednesday,00:00:00.000000000,Single,No,No,No,80,Passenger,Male,9,Inner Regional Australia,Central Queensland,Gladstone,Sub-arterial Road,No,No,0_to_16,Weekday,Night,2
Fatality9515,20177020,NT,5,1992,Sunday,14:00:00.000000000,Single,No,No,No,80,Motorcycle rider,Male,59,Outer Regional Australia,Darwin,Litchfield,Local Road,No,No,40_to_64,Weekend,Day,1
Fatality9516,20211176,NSW,3,1990,Tuesday,04:48:00.000000000,Multiple,No,No,No,100,Driver,Male,44,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,No,No,40_to_64,Weekday,Night,1
Fatality9517,20202150,Vic,9,1991,Monday,09:55:00.000000000,Single,No,No,Yes,100,Driver,Male,39,Outer Regional Australia,North West,West Wimmera,Arterial Road,No,No,26_to_39,Weekday,Day,1
Fatality9518,20151088,NSW,8,1994,Thursday,12:40:00.000000000,Multiple,No,No,No,80,Driver,Female,45,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,No,No,40_to_64,Weekday,Day,2
